,Unnamed: 0,Price_Category,Number of Bedrooms,County,Rent_Price,Land_Price,Population of County,Average_Value_County,Rent_To_Land_Ratio,Average_Value_Bedroom_Count,vat_internal_€m,paye_income_tax_and_usc_€m,self_employed_income_tax_€m,corporation_tax_€m,capital_gains_tax_€m,Net_Income
0,0,Standard,Four plus bed,Carlow,1397.92,17417,61968,976.8573684,0.080261813,1360.95,86.53,147.83,25.62,33.55,7.19,53953
1,1,Standard,Four plus bed,Carlow,1323.98,17417,61968,976.8573684,0.076016536,1360.95,86.53,147.83,25.62,33.55,7.19,53953
2,2,Standard,All bedrooms,Carlow,1060.03,17417,61968,976.8573684,0.060861802,1029.973333,86.53,147.83,25.62,33.55,7.19,53953
3,3,Standard,Three bed,Carlow,1028.83,17417,61968,976.8573684,0.059070448,1002.91,86.53,147.83,25.62,33.55,7.19,53953
4,4,Standard,All bedrooms,Carlow,1017.06,17417,61968,976.8573684,0.058394672,1029.973333,86.53,147.83,25.62,33.55,7.19,53953
5,5,Standard,All bedrooms,Carlow,1012.83,17417,61968,976.8573684,0.058151806,1029.973333,86.53,147.83,25.62,33.55,7.19,53953
6,6,Standard,Three bed,Carlow,997.69,17417,61968,976.8573684,0.05728254,1002.91,86.53,147.83,25.62,33.55,7.19,53953
7,7,Standard,Three bed,Carlow,982.21,17417,61968,976.8573684,0.056393753,1002.91,86.53,147.83,25.62,33.55,7.19,53953
8,8,Standard,1 to 3 bed,Carlow,969.62,17417,61968,976.8573684,0.055670896,947.4166667,86.53,147.83,25.62,33.55,7.19,53953
9,9,Standard,1 to 3 bed,Carlow,945.86,17417,61968,976.8573684,0.054306712,947.4166667,86.53,147.83,25.62,33.55,7.19,53953
10,10,Standard,1 to 3 bed,Carlow,926.77,17417,61968,976.8573684,0.053210656,947.4166667,86.53,147.83,25.62,33.55,7.19,53953
11,11,Standard,Two bed,Carlow,907.25,17417,61968,976.8573684,0.052089912,881.7166667,86.53,147.83,25.62,33.55,7.19,53953
12,12,Standard,1 to 2 bed,Carlow,888.99,17417,61968,976.8573684,0.051041511,863.2266667,86.53,147.83,25.62,33.55,7.19,53953
13,13,Standard,Two bed,Carlow,877.48,17417,61968,976.8573684,0.050380663,881.7166667,86.53,147.83,25.62,33.55,7.19,53953
14,14,Budget,Two bed,Carlow,860.42,17417,61968,976.8573684,0.04940116,881.7166667,86.53,147.83,25.62,33.55,7.19,53953
15,15,Budget,1 to 2 bed,Carlow,858.69,17417,61968,976.8573684,0.049301832,863.2266667,86.53,147.83,25.62,33.55,7.19,53953
16,16,Budget,One bed,Carlow,849.14,17417,61968,976.8573684,0.048753517,831.33,86.53,147.83,25.62,33.55,7.19,53953
17,17,Budget,1 to 2 bed,Carlow,842.0,17417,61968,976.8573684,0.048343572,863.2266667,86.53,147.83,25.62,33.55,7.19,53953
18,18,Budget,One bed,Carlow,813.52,17417,61968,976.8573684,0.046708388,831.33,86.53,147.83,25.62,33.55,7.19,53953
19,19,Standard,Four plus bed,Cavan,1079.64,10000,81704,759.1215217,0.107964,1018.265,115.04,196.23,30.28,77.63,7.47,52780
20,20,Standard,Four plus bed,Cavan,1047.92,10000,81704,759.1215217,0.104792,1018.265,115.04,196.23,30.28,77.63,7.47,52780
21,21,Standard,Four plus bed,Cavan,973.88,10000,81704,759.1215217,0.097388,1018.265,115.04,196.23,30.28,77.63,7.47,52780
22,22,Standard,Four plus bed,Cavan,971.62,10000,81704,759.1215217,0.097162,1018.265,115.04,196.23,30.28,77.63,7.47,52780
23,23,Standard,Three bed,Cavan,956.26,10000,81704,759.1215217,0.095626,794.3325,115.04,196.23,30.28,77.63,7.47,52780
24,24,Standard,Three bed,Cavan,898.99,10000,81704,759.1215217,0.089899,794.3325,115.04,196.23,30.28,77.63,7.47,52780
25,25,Standard,All bedrooms,Cavan,889.31,10000,81704,759.1215217,0.088931,782.8355556,115.04,196.23,30.28,77.63,7.47,52780
26,26,Standard,All bedrooms,Cavan,865.28,10000,81704,759.1215217,0.086528,782.8355556,115.04,196.23,30.28,77.63,7.47,52780
27,27,Budget,All bedrooms,Cavan,844.51,10000,81704,759.1215217,0.084451,782.8355556,115.04,196.23,30.28,77.63,7.47,52780
28,28,Budget,1 to 3 bed,Cavan,837.07,10000,81704,759.1215217,0.083707,724.2533333,115.04,196.23,30.28,77.63,7.47,52780
29,29,Budget,Two bed,Cavan,822.93,10000,81704,759.1215217,0.082293,731.028,115.04,196.23,30.28,77.63,7.47,52780
30,30,Budget,1 to 3 bed,Cavan,816.1,10000,81704,759.1215217,0.08161,724.2533333,115.04,196.23,30.28,77.63,7.47,52780
31,31,Budget,Three bed,Cavan,807.56,10000,81704,759.1215217,0.080756,794.3325,115.04,196.23,30.28,77.63,7.47,52780
32,32,Budget,Three bed,Cavan,805.33,10000,81704,759.1215217,0.080533,794.3325,115.04,196.23,30.28,77.63,7.47,52780
33,33,Budget,Three bed,Cavan,801.24,10000,81704,759.1215217,0.080124,794.3325,115.04,196.23,30.28,77.63,7.47,52780
34,34,Budget,All bedrooms,Cavan,797.31,10000,81704,759.1215217,0.079731,782.8355556,115.04,196.23,30.28,77.63,7.47,52780
35,35,Budget,All bedrooms,Cavan,795.35,10000,81704,759.1215217,0.079535,782.8355556,115.04,196.23,30.28,77.63,7.47,52780
36,36,Budget,All bedrooms,Cavan,793.75,10000,81704,759.1215217,0.079375,782.8355556,115.04,196.23,30.28,77.63,7.47,52780
37,37,Budget,1 to 2 bed,Cavan,788.43,10000,81704,759.1215217,0.078843,662.54625,115.04,196.23,30.28,77.63,7.47,52780
38,38,Budget,1 to 3 bed,Cavan,761.29,10000,81704,759.1215217,0.076129,724.2533333,115.04,196.23,30.28,77.63,7.47,52780
39,39,Budget,Two bed,Cavan,757.11,10000,81704,759.1215217,0.075711,731.028,115.04,196.23,30.28,77.63,7.47,52780
40,40,Budget,1 to 3 bed,Cavan,746.61,10000,81704,759.1215217,0.074661,724.2533333,115.04,196.23,30.28,77.63,7.47,52780
41,41,Budget,Two bed,Cavan,739.31,10000,81704,759.1215217,0.073931,731.028,115.04,196.23,30.28,77.63,7.47,52780
42,42,Budget,All bedrooms,Cavan,728.95,10000,81704,759.1215217,0.072895,782.8355556,115.04,196.23,30.28,77.63,7.47,52780
43,43,Budget,1 to 2 bed,Cavan,728.51,10000,81704,759.1215217,0.072851,662.54625,115.04,196.23,30.28,77.63,7.47,52780
44,44,Budget,All bedrooms,Cavan,715.75,10000,81704,759.1215217,0.071575,782.8355556,115.04,196.23,30.28,77.63,7.47,52780
45,45,Budget,Three bed,Cavan,714.49,10000,81704,759.1215217,0.071449,794.3325,115.04,196.23,30.28,77.63,7.47,52780
46,46,Budget,Three bed,Cavan,709.17,10000,81704,759.1215217,0.070917,794.3325,115.04,196.23,30.28,77.63,7.47,52780
47,47,Budget,1 to 3 bed,Cavan,702.02,10000,81704,759.1215217,0.070202,724.2533333,115.04,196.23,30.28,77.63,7.47,52780
48,48,Budget,One bed,Cavan,697.62,10000,81704,759.1215217,0.069762,657.52,115.04,196.23,30.28,77.63,7.47,52780
49,49,Budget,1 to 2 bed,Cavan,696.33,10000,81704,759.1215217,0.069633,662.54625,115.04,196.23,30.28,77.63,7.47,52780
50,50,Budget,1 to 2 bed,Cavan,692.09,10000,81704,759.1215217,0.069209,662.54625,115.04,196.23,30.28,77.63,7.47,52780
51,51,Budget,1 to 3 bed,Cavan,690.07,10000,81704,759.1215217,0.069007,724.2533333,115.04,196.23,30.28,77.63,7.47,52780
52,52,Budget,1 to 3 bed,Cavan,685.72,10000,81704,759.1215217,0.068572,724.2533333,115.04,196.23,30.28,77.63,7.47,52780
53,53,Budget,1 to 3 bed,Cavan,677.96,10000,81704,759.1215217,0.067796,724.2533333,115.04,196.23,30.28,77.63,7.47,52780
54,54,Budget,Two bed,Cavan,669.83,10000,81704,759.1215217,0.066983,731.028,115.04,196.23,30.28,77.63,7.47,52780
55,55,Budget,One bed,Cavan,667.19,10000,81704,759.1215217,0.066719,657.52,115.04,196.23,30.28,77.63,7.47,52780
56,56,Budget,Two bed,Cavan,665.96,10000,81704,759.1215217,0.066596,731.028,115.04,196.23,30.28,77.63,7.47,52780
57,57,Budget,Three bed,Cavan,661.62,10000,81704,759.1215217,0.066162,794.3325,115.04,196.23,30.28,77.63,7.47,52780
58,58,Budget,1 to 2 bed,Cavan,655.67,10000,81704,759.1215217,0.065567,662.54625,115.04,196.23,30.28,77.63,7.47,52780
59,59,Budget,1 to 2 bed,Cavan,615.98,10000,81704,759.1215217,0.061598,662.54625,115.04,196.23,30.28,77.63,7.47,52780
60,60,Budget,All bedrooms,Cavan,615.31,10000,81704,759.1215217,0.061531,782.8355556,115.04,196.23,30.28,77.63,7.47,52780
61,61,Budget,One bed,Cavan,607.75,10000,81704,759.1215217,0.060775,657.52,115.04,196.23,30.28,77.63,7.47,52780
62,62,Budget,1 to 3 bed,Cavan,601.44,10000,81704,759.1215217,0.060144,724.2533333,115.04,196.23,30.28,77.63,7.47,52780
63,63,Budget,1 to 2 bed,Cavan,587.11,10000,81704,759.1215217,0.058711,662.54625,115.04,196.23,30.28,77.63,7.47,52780
64,64,Budget,1 to 2 bed,Cavan,536.25,10000,81704,759.1215217,0.053625,662.54625,115.04,196.23,30.28,77.63,7.47,52780
65,65,Standard,Four plus bed,Clare,1157.5,9875,127938,861.5288235,0.11721519,1114.595,168.66,380.6,50.19,136.84,15.83,55072
66,66,Standard,Four plus bed,Clare,1071.69,9875,127938,861.5288235,0.10852557,1114.595,168.66,380.6,50.19,136.84,15.83,55072
67,67,Standard,Three bed,Clare,1038.72,9875,127938,861.5288235,0.105186835,948.425,168.66,380.6,50.19,136.84,15.83,55072
68,68,Standard,Three bed,Clare,1024.16,9875,127938,861.5288235,0.103712405,948.425,168.66,380.6,50.19,136.84,15.83,55072
69,69,Standard,Three bed,Clare,1003.83,9875,127938,861.5288235,0.101653671,948.425,168.66,380.6,50.19,136.84,15.83,55072
70,70,Standard,Three bed,Clare,992.88,9875,127938,861.5288235,0.10054481,948.425,168.66,380.6,50.19,136.84,15.83,55072
71,71,Standard,All bedrooms,Clare,983.09,9875,127938,861.5288235,0.099553418,895.1385714,168.66,380.6,50.19,136.84,15.83,55072
72,72,Standard,1 to 3 bed,Clare,967.09,9875,127938,861.5288235,0.097933165,867.1542857,168.66,380.6,50.19,136.84,15.83,55072
73,73,Standard,Three bed,Clare,956.38,9875,127938,861.5288235,0.096848608,948.425,168.66,380.6,50.19,136.84,15.83,55072
74,74,Standard,All bedrooms,Clare,955.1,9875,127938,861.5288235,0.096718987,895.1385714,168.66,380.6,50.19,136.84,15.83,55072
75,75,Standard,1 to 3 bed,Clare,948.72,9875,127938,861.5288235,0.096072911,867.1542857,168.66,380.6,50.19,136.84,15.83,55072
76,76,Standard,All bedrooms,Clare,943.63,9875,127938,861.5288235,0.095557468,895.1385714,168.66,380.6,50.19,136.84,15.83,55072
77,77,Standard,All bedrooms,Clare,941.41,9875,127938,861.5288235,0.095332658,895.1385714,168.66,380.6,50.19,136.84,15.83,55072
78,78,Standard,1 to 3 bed,Clare,932.51,9875,127938,861.5288235,0.094431392,867.1542857,168.66,380.6,50.19,136.84,15.83,55072
79,79,Standard,Two bed,Clare,918.76,9875,127938,861.5288235,0.093038987,818.606,168.66,380.6,50.19,136.84,15.83,55072
80,80,Standard,1 to 3 bed,Clare,913.77,9875,127938,861.5288235,0.092533671,867.1542857,168.66,380.6,50.19,136.84,15.83,55072
81,81,Standard,Two bed,Clare,911.35,9875,127938,861.5288235,0.092288608,818.606,168.66,380.6,50.19,136.84,15.83,55072
82,82,Standard,All bedrooms,Clare,905.46,9875,127938,861.5288235,0.091692152,895.1385714,168.66,380.6,50.19,136.84,15.83,55072
83,83,Standard,1 to 2 bed,Clare,899.76,9875,127938,861.5288235,0.091114937,769.704,168.66,380.6,50.19,136.84,15.83,55072
84,84,Standard,1 to 2 bed,Clare,895.26,9875,127938,861.5288235,0.090659241,769.704,168.66,380.6,50.19,136.84,15.83,55072
85,85,Standard,All bedrooms,Clare,892.09,9875,127938,861.5288235,0.090338228,895.1385714,168.66,380.6,50.19,136.84,15.83,55072
86,86,Budget,1 to 3 bed,Clare,851.31,9875,127938,861.5288235,0.086208608,867.1542857,168.66,380.6,50.19,136.84,15.83,55072
87,87,Budget,1 to 3 bed,Clare,824.02,9875,127938,861.5288235,0.083445063,867.1542857,168.66,380.6,50.19,136.84,15.83,55072
88,88,Budget,Two bed,Clare,815.48,9875,127938,861.5288235,0.082580253,818.606,168.66,380.6,50.19,136.84,15.83,55072
89,89,Budget,Two bed,Clare,815.25,9875,127938,861.5288235,0.082556962,818.606,168.66,380.6,50.19,136.84,15.83,55072
90,90,Budget,1 to 2 bed,Clare,751.08,9875,127938,861.5288235,0.076058734,769.704,168.66,380.6,50.19,136.84,15.83,55072
91,91,Budget,1 to 2 bed,Clare,707.7,9875,127938,861.5288235,0.071665823,769.704,168.66,380.6,50.19,136.84,15.83,55072
92,92,Budget,Three bed,Clare,674.58,9875,127938,861.5288235,0.068311899,948.425,168.66,380.6,50.19,136.84,15.83,55072
93,93,Budget,All bedrooms,Clare,645.19,9875,127938,861.5288235,0.065335696,895.1385714,168.66,380.6,50.19,136.84,15.83,55072
94,94,Budget,1 to 3 bed,Clare,632.66,9875,127938,861.5288235,0.064066835,867.1542857,168.66,380.6,50.19,136.84,15.83,55072
95,95,Budget,Two bed,Clare,632.19,9875,127938,861.5288235,0.064019241,818.606,168.66,380.6,50.19,136.84,15.83,55072
96,96,Budget,1 to 2 bed,Clare,594.72,9875,127938,861.5288235,0.06022481,769.704,168.66,380.6,50.19,136.84,15.83,55072
97,97,Budget,One bed,Clare,569.77,9875,127938,861.5288235,0.057698228,547.32,168.66,380.6,50.19,136.84,15.83,55072
98,98,Budget,One bed,Clare,524.87,9875,127938,861.5288235,0.053151392,547.32,168.66,380.6,50.19,136.84,15.83,55072
99,99,Luxury,Four plus bed,Cork,2031.86,17875,584156,1107.281059,0.11367049,1508.663846,1818.53,2259.48,341.84,8467.08,184.82,60620
100,100,Luxury,Four plus bed,Cork,1874.94,17875,584156,1107.281059,0.104891748,1508.663846,1818.53,2259.48,341.84,8467.08,184.82,60620
101,101,Luxury,Four plus bed,Cork,1780.89,17875,584156,1107.281059,0.09963021,1508.663846,1818.53,2259.48,341.84,8467.08,184.82,60620
102,102,Luxury,Four plus bed,Cork,1683.22,17875,584156,1107.281059,0.094166154,1508.663846,1818.53,2259.48,341.84,8467.08,184.82,60620
103,103,Luxury,Four plus bed,Cork,1666.3,17875,584156,1107.281059,0.09321958,1508.663846,1818.53,2259.48,341.84,8467.08,184.82,60620
104,104,Luxury,All bedrooms,Cork,1645.5,17875,584156,1107.281059,0.092055944,1123.136471,1818.53,2259.48,341.84,8467.08,184.82,60620
105,105,Standard,Four plus bed,Cork,1610.16,17875,584156,1107.281059,0.090078881,1508.663846,1818.53,2259.48,341.84,8467.08,184.82,60620
106,106,Standard,Four plus bed,Cork,1606.71,17875,584156,1107.281059,0.089885874,1508.663846,1818.53,2259.48,341.84,8467.08,184.82,60620
