,Number of Bedrooms,County,Rent_Price,Land_Price,Population of County,Avg_Rent_By_Bedroom,Rent_Land_Ratio,vat_internal_€m,paye_income_tax_and_usc_€m,self_employed_income_tax_€m,corporation_tax_€m,capital_gains_tax_€m,VALUE
0,Four plus bed,Carlow,1397.92,17417,61968,1680.8637333333334,0.0802618131710398,86.53,147.83,25.62,33.55,7.19,53953
1,Four plus bed,Carlow,1323.98,17417,61968,1680.8637333333334,0.0760165355686972,86.53,147.83,25.62,33.55,7.19,53953
2,All bedrooms,Carlow,1060.03,17417,61968,1298.127292225201,0.0608618016880059,86.53,147.83,25.62,33.55,7.19,53953
3,Three bed,Carlow,1028.83,17417,61968,1385.131496350365,0.0590704484124705,86.53,147.83,25.62,33.55,7.19,53953
4,All bedrooms,Carlow,1017.06,17417,61968,1298.127292225201,0.0583946718723086,86.53,147.83,25.62,33.55,7.19,53953
5,All bedrooms,Carlow,1012.83,17417,61968,1298.127292225201,0.0581518057070678,86.53,147.83,25.62,33.55,7.19,53953
6,Three bed,Carlow,997.69,17417,61968,1385.131496350365,0.0572825400470804,86.53,147.83,25.62,33.55,7.19,53953
7,Three bed,Carlow,982.21,17417,61968,1385.131496350365,0.0563937532296032,86.53,147.83,25.62,33.55,7.19,53953
8,1 to 3 bed,Carlow,969.62,17417,61968,1230.7152459016395,0.0556708962507894,86.53,147.83,25.62,33.55,7.19,53953
9,1 to 3 bed,Carlow,945.86,17417,61968,1230.7152459016395,0.0543067118332663,86.53,147.83,25.62,33.55,7.19,53953
10,1 to 3 bed,Carlow,926.77,17417,61968,1230.7152459016395,0.0532106562553826,86.53,147.83,25.62,33.55,7.19,53953
11,Two bed,Carlow,907.25,17417,61968,1274.9833802816902,0.0520899121547912,86.53,147.83,25.62,33.55,7.19,53953
12,1 to 2 bed,Carlow,888.99,17417,61968,1184.0090322580645,0.0510415111672503,86.53,147.83,25.62,33.55,7.19,53953
13,Two bed,Carlow,877.48,17417,61968,1274.9833802816902,0.0503806625710512,86.53,147.83,25.62,33.55,7.19,53953
14,Two bed,Carlow,860.42,17417,61968,1274.9833802816902,0.0494011597864155,86.53,147.83,25.62,33.55,7.19,53953
15,1 to 2 bed,Carlow,858.69,17417,61968,1184.0090322580645,0.0493018315438939,86.53,147.83,25.62,33.55,7.19,53953
16,One bed,Carlow,849.14,17417,61968,1057.0936904761904,0.0487535166791066,86.53,147.83,25.62,33.55,7.19,53953
17,1 to 2 bed,Carlow,842.0,17417,61968,1184.0090322580645,0.0483435723718206,86.53,147.83,25.62,33.55,7.19,53953
18,One bed,Carlow,813.52,17417,61968,1057.0936904761904,0.0467083883562037,86.53,147.83,25.62,33.55,7.19,53953
19,Four plus bed,Cavan,1079.64,10000,81704,1680.8637333333334,0.107964,115.04,196.23,30.28,77.63,7.47,52780
20,Four plus bed,Cavan,1047.92,10000,81704,1680.8637333333334,0.104792,115.04,196.23,30.28,77.63,7.47,52780
21,Four plus bed,Cavan,973.88,10000,81704,1680.8637333333334,0.097388,115.04,196.23,30.28,77.63,7.47,52780
22,Four plus bed,Cavan,971.62,10000,81704,1680.8637333333334,0.097162,115.04,196.23,30.28,77.63,7.47,52780
23,Three bed,Cavan,956.26,10000,81704,1385.131496350365,0.095626,115.04,196.23,30.28,77.63,7.47,52780
24,Three bed,Cavan,898.99,10000,81704,1385.131496350365,0.089899,115.04,196.23,30.28,77.63,7.47,52780
25,All bedrooms,Cavan,889.31,10000,81704,1298.127292225201,0.088931,115.04,196.23,30.28,77.63,7.47,52780
26,All bedrooms,Cavan,865.28,10000,81704,1298.127292225201,0.086528,115.04,196.23,30.28,77.63,7.47,52780
27,All bedrooms,Cavan,844.51,10000,81704,1298.127292225201,0.084451,115.04,196.23,30.28,77.63,7.47,52780
28,1 to 3 bed,Cavan,837.07,10000,81704,1230.7152459016395,0.083707,115.04,196.23,30.28,77.63,7.47,52780
29,Two bed,Cavan,822.93,10000,81704,1274.9833802816902,0.0822929999999999,115.04,196.23,30.28,77.63,7.47,52780
30,1 to 3 bed,Cavan,816.1,10000,81704,1230.7152459016395,0.08161,115.04,196.23,30.28,77.63,7.47,52780
31,Three bed,Cavan,807.56,10000,81704,1385.131496350365,0.080756,115.04,196.23,30.28,77.63,7.47,52780
32,Three bed,Cavan,805.33,10000,81704,1385.131496350365,0.080533,115.04,196.23,30.28,77.63,7.47,52780
33,Three bed,Cavan,801.24,10000,81704,1385.131496350365,0.080124,115.04,196.23,30.28,77.63,7.47,52780
34,All bedrooms,Cavan,797.31,10000,81704,1298.127292225201,0.079731,115.04,196.23,30.28,77.63,7.47,52780
