Statistic Label,Year,County,VALUE
Mean Net Household Income,2022,Co. Clare,55072
Mean Net Household Income,2022,Co. Cork,60620
Mean Net Household Income,2022,Co. Cavan,52780
Mean Net Household Income,2022,Co. Carlow,53953
Mean Net Household Income,2022,Co. Donegal,45840
Mean Net Household Income,2022,Co. Dublin,70886
Mean Net Household Income,2022,Co. Galway,58693
Mean Net Household Income,2022,Co. Kildare,68053
Mean Net Household Income,2022,Co. Kilkenny,58136
Mean Net Household Income,2022,Co. Kerry,50289
Mean Net Household Income,2022,Co. Longford,49835
Mean Net Household Income,2022,Co. Louth,55543
Mean Net Household Income,2022,Co. Limerick,57374
Mean Net Household Income,2022,Co. Leitrim,48168
Mean Net Household Income,2022,Co. Laois,57805
Mean Net Household Income,2022,Co. Meath,66250
Mean Net Household Income,2022,Co. Monaghan,51642
Mean Net Household Income,2022,Co. Mayo,50725
Mean Net Household Income,2022,Co. Offaly,56021
Mean Net Household Income,2022,Co. Roscommon,52500
Mean Net Household Income,2022,Co. Sligo,52284
Mean Net Household Income,2022,Co. Tipperary,54423
Mean Net Household Income,2022,Co. Waterford,54057
Mean Net Household Income,2022,Co. Wicklow,63733
Mean Net Household Income,2022,Co. Westmeath,56911
Mean Net Household Income,2022,Co. Wexford,52438
