Year,Number of Bedrooms,Property Type,County,UNIT,Rent_Price,Land_Price,Population of County
2022,Four plus bed,All property types,Carlow,Euro,1397.92,17417,61968
2022,Four plus bed,All property types,Carlow,Euro,1323.98,17417,61968
2022,All bedrooms,All property types,Carlow,Euro,1060.03,17417,61968
2022,Three bed,All property types,Carlow,Euro,1028.83,17417,61968
2022,All bedrooms,All property types,Carlow,Euro,1017.06,17417,61968
2022,All bedrooms,All property types,Carlow,Euro,1012.83,17417,61968
2022,Three bed,All property types,Carlow,Euro,997.69,17417,61968
2022,Three bed,All property types,Carlow,Euro,982.21,17417,61968
2022,1 to 3 bed,All property types,Carlow,Euro,969.62,17417,61968
2022,1 to 3 bed,All property types,Carlow,Euro,945.86,17417,61968
2022,1 to 3 bed,All property types,Carlow,Euro,926.77,17417,61968
2022,Two bed,All property types,Carlow,Euro,907.25,17417,61968
2022,1 to 2 bed,All property types,Carlow,Euro,888.99,17417,61968
2022,Two bed,All property types,Carlow,Euro,877.48,17417,61968
2022,Two bed,All property types,Carlow,Euro,860.42,17417,61968
2022,1 to 2 bed,All property types,Carlow,Euro,858.69,17417,61968
2022,One bed,All property types,Carlow,Euro,849.14,17417,61968
2022,1 to 2 bed,All property types,Carlow,Euro,842,17417,61968
2022,One bed,All property types,Carlow,Euro,813.52,17417,61968
2022,Four plus bed,All property types,Cavan,Euro,1079.64,10000,81704
2022,Four plus bed,All property types,Cavan,Euro,1047.92,10000,81704
2022,Four plus bed,All property types,Cavan,Euro,973.88,10000,81704
2022,Four plus bed,All property types,Cavan,Euro,971.62,10000,81704
2022,Three bed,All property types,Cavan,Euro,956.26,10000,81704
2022,Three bed,All property types,Cavan,Euro,898.99,10000,81704
2022,All bedrooms,All property types,Cavan,Euro,889.31,10000,81704
2022,All bedrooms,All property types,Cavan,Euro,865.28,10000,81704
2022,All bedrooms,All property types,Cavan,Euro,844.51,10000,81704
2022,1 to 3 bed,All property types,Cavan,Euro,837.07,10000,81704
2022,Two bed,All property types,Cavan,Euro,822.93,10000,81704
2022,1 to 3 bed,All property types,Cavan,Euro,816.1,10000,81704
2022,Three bed,All property types,Cavan,Euro,807.56,10000,81704
2022,Three bed,All property types,Cavan,Euro,805.33,10000,81704
2022,Three bed,All property types,Cavan,Euro,801.24,10000,81704
2022,All bedrooms,All property types,Cavan,Euro,797.31,10000,81704
2022,All bedrooms,All property types,Cavan,Euro,795.35,10000,81704
2022,All bedrooms,All property types,Cavan,Euro,793.75,10000,81704
2022,1 to 2 bed,All property types,Cavan,Euro,788.43,10000,81704
2022,1 to 3 bed,All property types,Cavan,Euro,761.29,10000,81704
2022,Two bed,All property types,Cavan,Euro,757.11,10000,81704
2022,1 to 3 bed,All property types,Cavan,Euro,746.61,10000,81704
2022,Two bed,All property types,Cavan,Euro,739.31,10000,81704
2022,All bedrooms,All property types,Cavan,Euro,728.95,10000,81704
2022,1 to 2 bed,All property types,Cavan,Euro,728.51,10000,81704
2022,All bedrooms,All property types,Cavan,Euro,715.75,10000,81704
2022,Three bed,All property types,Cavan,Euro,714.49,10000,81704
2022,Three bed,All property types,Cavan,Euro,709.17,10000,81704
2022,1 to 3 bed,All property types,Cavan,Euro,702.02,10000,81704
2022,One bed,All property types,Cavan,Euro,697.62,10000,81704
2022,1 to 2 bed,All property types,Cavan,Euro,696.33,10000,81704
2022,1 to 2 bed,All property types,Cavan,Euro,692.09,10000,81704
2022,1 to 3 bed,All property types,Cavan,Euro,690.07,10000,81704
2022,1 to 3 bed,All property types,Cavan,Euro,685.72,10000,81704
2022,1 to 3 bed,All property types,Cavan,Euro,677.96,10000,81704
2022,Two bed,All property types,Cavan,Euro,669.83,10000,81704
2022,One bed,All property types,Cavan,Euro,667.19,10000,81704
2022,Two bed,All property types,Cavan,Euro,665.96,10000,81704
2022,Three bed,All property types,Cavan,Euro,661.62,10000,81704
2022,1 to 2 bed,All property types,Cavan,Euro,655.67,10000,81704
2022,1 to 2 bed,All property types,Cavan,Euro,615.98,10000,81704
2022,All bedrooms,All property types,Cavan,Euro,615.31,10000,81704
2022,One bed,All property types,Cavan,Euro,607.75,10000,81704
2022,1 to 3 bed,All property types,Cavan,Euro,601.44,10000,81704
2022,1 to 2 bed,All property types,Cavan,Euro,587.11,10000,81704
2022,1 to 2 bed,All property types,Cavan,Euro,536.25,10000,81704
2022,Four plus bed,All property types,Clare,Euro,1157.5,9875,127938
2022,Four plus bed,All property types,Clare,Euro,1071.69,9875,127938
2022,Three bed,All property types,Clare,Euro,1038.72,9875,127938
2022,Three bed,All property types,Clare,Euro,1024.16,9875,127938
2022,Three bed,All property types,Clare,Euro,1003.83,9875,127938
2022,Three bed,All property types,Clare,Euro,992.88,9875,127938
2022,All bedrooms,All property types,Clare,Euro,983.09,9875,127938
2022,1 to 3 bed,All property types,Clare,Euro,967.09,9875,127938
2022,Three bed,All property types,Clare,Euro,956.38,9875,127938
2022,All bedrooms,All property types,Clare,Euro,955.1,9875,127938
2022,1 to 3 bed,All property types,Clare,Euro,948.72,9875,127938
2022,All bedrooms,All property types,Clare,Euro,943.63,9875,127938
2022,All bedrooms,All property types,Clare,Euro,941.41,9875,127938
2022,1 to 3 bed,All property types,Clare,Euro,932.51,9875,127938
2022,Two bed,All property types,Clare,Euro,918.76,9875,127938
2022,1 to 3 bed,All property types,Clare,Euro,913.77,9875,127938
2022,Two bed,All property types,Clare,Euro,911.35,9875,127938
2022,All bedrooms,All property types,Clare,Euro,905.46,9875,127938
2022,1 to 2 bed,All property types,Clare,Euro,899.76,9875,127938
2022,1 to 2 bed,All property types,Clare,Euro,895.26,9875,127938
2022,All bedrooms,All property types,Clare,Euro,892.09,9875,127938
2022,1 to 3 bed,All property types,Clare,Euro,851.31,9875,127938
2022,1 to 3 bed,All property types,Clare,Euro,824.02,9875,127938
2022,Two bed,All property types,Clare,Euro,815.48,9875,127938
2022,Two bed,All property types,Clare,Euro,815.25,9875,127938
2022,1 to 2 bed,All property types,Clare,Euro,751.08,9875,127938
2022,1 to 2 bed,All property types,Clare,Euro,707.7,9875,127938
2022,Three bed,All property types,Clare,Euro,674.58,9875,127938
2022,All bedrooms,All property types,Clare,Euro,645.19,9875,127938
2022,1 to 3 bed,All property types,Clare,Euro,632.66,9875,127938
2022,Two bed,All property types,Clare,Euro,632.19,9875,127938
2022,1 to 2 bed,All property types,Clare,Euro,594.72,9875,127938
2022,One bed,All property types,Clare,Euro,569.77,9875,127938
2022,One bed,All property types,Clare,Euro,524.87,9875,127938
2022,Four plus bed,All property types,Cork,Euro,2031.86,17875,584156
2022,Four plus bed,All property types,Cork,Euro,1874.94,17875,584156
2022,Four plus bed,All property types,Cork,Euro,1780.89,17875,584156
2022,Four plus bed,All property types,Cork,Euro,1683.22,17875,584156
2022,Four plus bed,All property types,Cork,Euro,1666.3,17875,584156
2022,All bedrooms,All property types,Cork,Euro,1645.5,17875,584156
2022,Four plus bed,All property types,Cork,Euro,1610.16,17875,584156
2022,Four plus bed,All property types,Cork,Euro,1606.71,17875,584156
2022,Four plus bed,All property types,Cork,Euro,1570.15,17875,584156
2022,Three bed,All property types,Cork,Euro,1566.06,17875,584156
2022,Three bed,All property types,Cork,Euro,1545.77,17875,584156
2022,Three bed,All property types,Cork,Euro,1508.51,17875,584156
2022,Three bed,All property types,Cork,Euro,1452.07,17875,584156
2022,All bedrooms,All property types,Cork,Euro,1432.18,17875,584156
2022,All bedrooms,All property types,Cork,Euro,1430.42,17875,584156
2022,All bedrooms,All property types,Cork,Euro,1429.62,17875,584156
2022,Two bed,All property types,Cork,Euro,1419.22,17875,584156
2022,Two bed,All property types,Cork,Euro,1403.69,17875,584156
2022,1 to 3 bed,All property types,Cork,Euro,1398.53,17875,584156
2022,1 to 3 bed,All property types,Cork,Euro,1393.14,17875,584156
2022,Four plus bed,All property types,Cork,Euro,1388.75,17875,584156
2022,1 to 3 bed,All property types,Cork,Euro,1386.77,17875,584156
2022,All bedrooms,All property types,Cork,Euro,1384.28,17875,584156
2022,Three bed,All property types,Cork,Euro,1380.96,17875,584156
2022,All bedrooms,All property types,Cork,Euro,1378.86,17875,584156
2022,1 to 3 bed,All property types,Cork,Euro,1362.41,17875,584156
2022,All bedrooms,All property types,Cork,Euro,1361.46,17875,584156
2022,Three bed,All property types,Cork,Euro,1359.65,17875,584156
2022,Three bed,All property types,Cork,Euro,1344.39,17875,584156
2022,Two bed,All property types,Cork,Euro,1338.48,17875,584156
2022,Two bed,All property types,Cork,Euro,1334.21,17875,584156
2022,1 to 3 bed,All property types,Cork,Euro,1330.94,17875,584156
