Year,Number of Bedrooms,Property Type,County,UNIT,Rent_Price,Land_Price,Population of County,Avg_Rent_By_Bedroom,Rent_Land_Ratio,vat_internal_€m,paye_income_tax_and_usc_€m,self_employed_income_tax_€m,corporation_tax_€m,capital_gains_tax_€m
2022,Four plus bed,All property types,Carlow,Euro,1397.92,17417,61968,1680.8637333333334,0.0802618131710398,86.53,147.83,25.62,33.55,7.19
2022,Four plus bed,All property types,Carlow,Euro,1323.98,17417,61968,1680.8637333333334,0.07601653556869725,86.53,147.83,25.62,33.55,7.19
2022,All bedrooms,All property types,Carlow,Euro,1060.03,17417,61968,1298.127292225201,0.06086180168800597,86.53,147.83,25.62,33.55,7.19
2022,Three bed,All property types,Carlow,Euro,1028.83,17417,61968,1385.131496350365,0.05907044841247057,86.53,147.83,25.62,33.55,7.19
2022,All bedrooms,All property types,Carlow,Euro,1017.06,17417,61968,1298.127292225201,0.05839467187230866,86.53,147.83,25.62,33.55,7.19
2022,All bedrooms,All property types,Carlow,Euro,1012.83,17417,61968,1298.127292225201,0.05815180570706781,86.53,147.83,25.62,33.55,7.19
2022,Three bed,All property types,Carlow,Euro,997.69,17417,61968,1385.131496350365,0.057282540047080444,86.53,147.83,25.62,33.55,7.19
2022,Three bed,All property types,Carlow,Euro,982.21,17417,61968,1385.131496350365,0.056393753229603265,86.53,147.83,25.62,33.55,7.19
2022,1 to 3 bed,All property types,Carlow,Euro,969.62,17417,61968,1230.7152459016395,0.055670896250789456,86.53,147.83,25.62,33.55,7.19
2022,1 to 3 bed,All property types,Carlow,Euro,945.86,17417,61968,1230.7152459016395,0.05430671183326635,86.53,147.83,25.62,33.55,7.19
2022,1 to 3 bed,All property types,Carlow,Euro,926.77,17417,61968,1230.7152459016395,0.05321065625538267,86.53,147.83,25.62,33.55,7.19
2022,Two bed,All property types,Carlow,Euro,907.25,17417,61968,1274.9833802816902,0.05208991215479129,86.53,147.83,25.62,33.55,7.19
2022,1 to 2 bed,All property types,Carlow,Euro,888.99,17417,61968,1184.0090322580645,0.051041511167250385,86.53,147.83,25.62,33.55,7.19
2022,Two bed,All property types,Carlow,Euro,877.48,17417,61968,1274.9833802816902,0.050380662571051275,86.53,147.83,25.62,33.55,7.19
2022,Two bed,All property types,Carlow,Euro,860.42,17417,61968,1274.9833802816902,0.04940115978641557,86.53,147.83,25.62,33.55,7.19
2022,1 to 2 bed,All property types,Carlow,Euro,858.69,17417,61968,1184.0090322580645,0.0493018315438939,86.53,147.83,25.62,33.55,7.19
2022,One bed,All property types,Carlow,Euro,849.14,17417,61968,1057.0936904761904,0.04875351667910662,86.53,147.83,25.62,33.55,7.19
2022,1 to 2 bed,All property types,Carlow,Euro,842.0,17417,61968,1184.0090322580645,0.04834357237182064,86.53,147.83,25.62,33.55,7.19
2022,One bed,All property types,Carlow,Euro,813.52,17417,61968,1057.0936904761904,0.04670838835620371,86.53,147.83,25.62,33.55,7.19
2022,Four plus bed,All property types,Cavan,Euro,1079.64,10000,81704,1680.8637333333334,0.107964,115.04,196.23,30.28,77.63,7.47
2022,Four plus bed,All property types,Cavan,Euro,1047.92,10000,81704,1680.8637333333334,0.10479200000000001,115.04,196.23,30.28,77.63,7.47
2022,Four plus bed,All property types,Cavan,Euro,973.88,10000,81704,1680.8637333333334,0.097388,115.04,196.23,30.28,77.63,7.47
2022,Four plus bed,All property types,Cavan,Euro,971.62,10000,81704,1680.8637333333334,0.097162,115.04,196.23,30.28,77.63,7.47
2022,Three bed,All property types,Cavan,Euro,956.26,10000,81704,1385.131496350365,0.095626,115.04,196.23,30.28,77.63,7.47
2022,Three bed,All property types,Cavan,Euro,898.99,10000,81704,1385.131496350365,0.089899,115.04,196.23,30.28,77.63,7.47
