county,vat_internal_€m,paye_income_tax_and_usc_€m,self_employed_income_tax_€m,corporation_tax_€m,capital_gains_tax_€m
Carlow,86.53,147.83,25.62,33.55,7.19
Cavan,115.04,196.23,30.28,77.63,7.47
Clare,168.66,380.6,50.19,136.84,15.83
Cork,1818.53,2259.48,341.84,8467.08,184.82
Donegal,151.96,202.12,48.96,78.69,13.88
Dublin,9895.73,13623.77,1383.09,11525.39,792.11
Galway,376.52,1018.22,148.58,267.17,74.62
Kerry,176.6,740.06,83.3,70.09,41.06
Kildare,487.01,933.79,120.42,168.72,65.43
Kilkenny,127.72,357.33,54.65,65.33,17.77
Laois,99.83,89.49,30.21,27.3,10.06
Leitrim,21.17,188.69,12.31,12.44,4.64
Limerick,360.65,763.67,106.06,404.3,74.21
Longford,41.08,75.53,14.76,18.91,9.33
Louth,237.05,309.43,51.46,115.17,25.4
Mayo,158.65,261.31,59.52,136.57,25.07
Meath,334.13,529.26,118.6,276.81,56.22
Monaghan,94.91,110.98,24.57,57.49,13.13
Offaly,85.55,315.39,29.86,52.38,7.27
Roscommon,87.07,69.21,25.23,25.76,8.88
Sligo,156.99,159.56,33.12,38.89,9.71
Tipperary,239.31,239.31,87.64,78.01,29.65
Waterford,156.59,283.68,60.72,105.1,27.18
Westmeath,120.29,1295.14,44.2,83.55,52
Wexford,203.03,258.55,72.16,135.27,19.89
Wicklow,243.7,263.37,103.3,72.16,64.99
